Plate2 conc. ng/µL;1;2;3;4;5;6;7;8;9;10;11;12
A;46,76227965;45,89930617;48,05217796;30,49045066;39,14685389;42,06471804;17,00337824;25,54500032;44,59492737;36,40651227;42,2906516;40,892567
B;37,74112732;41,09681972;6,12771129;36,08512187;25,05185381;32,6941492;37,94492139;21,15388992;22,89166489;44,23937239;43,18395749;34,54892887
C;33,34593329;35,11073245;#NUM!;40,59161527;24,71264225;6,612309986;3,029417451;33,96064803;33,14287985;27,36608727;44,0131519;0,042639853
D;25,17909153;13,91795756;26,12863709;23,65345703;#NUM!;19,76759262;23,89695375;38,01464749;41,26884415;19,82025478;0,097830181;30,93830822
E;40,22625821;18,23163847;30,63438485;28,06251699;7,476817789;42,47895549;30,46379828;34,27614518;38,33650672;38,4008877;17,86921006;#NUM!
F;6,806433561;24,17229486;16,8565704;13,45409998;#NUM!;6,341826952;35,75310295;17,86921006;#NUM!;38,47063718;40,07584412;#NUM!
G;16,06548354;36,74941658;16,94045621;3,429247138;9,55954264;9,724689638;0,766276851;26,72857289;22,46346821;32,42178986;42,69956988;32,11746434
H;19,96772971;0,010731058;30,33054619;20,27858043;26,74450558;25,98003991;14,49708449;26,43121174;38,99118742;35,31946693;0,090987372;31,99468922
