SampleID;input;filtered;denoisedF;denoisedR;merged;nonchim
4016161228;362011;321611;319247;319955;305261;244351
4016160870;395090;360054;358774;359542;351080;347303
4016161453;384382;346138;344101;344624;331932;279133
4016161287;9512;7568;6879;7267;6018;5404
4016160958;400566;362888;360787;361388;350760;311600
CROSS.CONT.CTR.200;6316;4879;4272;4595;3626;3106
4016161813;226374;205400;204405;204931;201006;198952
4016160878;325275;293573;291673;292672;284434;237693
4016160903;383724;344576;342871;343236;334749;305736
4016161472;335607;302385;300178;301463;289752;229770
4016161406;367801;325380;322908;323839;310281;250978
4016160999;348059;312975;310619;311292;296902;223006
4016160885;433651;392088;390302;391412;382378;365157
4016160813;385428;337490;334886;336044;322879;265257
4016160803;440252;397045;395381;396407;388586;382926
4016161570;346300;311702;310188;310445;302741;252466
4016160968;274420;248689;245422;246343;227500;142353
4016161005;293521;263392;260637;262349;249734;223086
4016161637;317530;288505;285264;287224;271012;216806
4016161525;310686;279652;278076;278945;272491;247471
4016160888;371942;336086;333915;335035;325847;297476
4016160725;324587;295066;293247;293814;285668;260759
4016160818;353025;318260;314825;316742;298844;251523
4016161552;386042;350940;350097;350670;346813;344603
4016160840;315763;286036;284694;285212;279650;256850
4016161353;315269;282369;280708;281140;271900;246526
4016160772;336798;305510;302063;303612;282795;208965
4016161139;263650;236668;234138;234755;218355;144984
neg.CTR.99;5875;4350;3654;3981;3077;2730
neg.CTR.100;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
pos.CTR.99;382888;331895;326213;328901;306706;251253
pos.CTR.100;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
