Plate4 conc. ng/µL;1;2;3;4;5;6;7;8;9;10;11;12
A;39,90933274;43,28623668;19,80972203;7,738273408;31,24764971;29,0308802;22,95512069;17,86921006;23,90754215;22,62731909;44,31478646;20,85321491
B;39,67839768;23,01329284;18,97813896;14,65893999;14,64327435;9,972557595;7,974309516;18,12656574;11,15223081;30,87964978;25,88983184;22,83878884
C;42,4520535;44,95595104;#NUM!;27,08446637;12,92304105;0,383641416;#NUM!;31,4023528;26,67546583;29,35032138;38,49746485;34,43125002
D;26,82948446;24,06638394;2,376102259;19,46223015;14,84174042;4,206571027;6,612309986;18,00575326;#NUM!;24,58017316;26,09148556;44,82123115
E;26,10210013;27,41923245;5,090847325;21,84008691;18,72570678;11,59294143;29,6112709;19,90452241;22,65374978;14,68505043;21,7555988;#NUM!
F;30,26659102;28,87119658;#NUM!;17,01386588;#NUM!;15,12389927;12,22111514;18,741481;#NUM!;33,59712638;23,42061301;#NUM!
G;15,93461305;34,83782462;27,09509209;21,78200034;19,79918944;34,29753778;23,82813236;28,41889483;1,202768419;13,14163951;25,86860769;17,59621183
H;5,695032271;15,02982974;#NUM!;1,572209714;0,352096436;12,19513924;13,34992359;13,41763566;26,67546583;36,99057507;4,012584181;21,37023931
