Plate3 conc. ng/µL;1;2;3;4;5;6;7;8;9;10;11;12
A;17,70644689;15,53695317;22,22567995;6,729786996;22,3419231;22,79120333;20,6211981;21,08002872;28,6583237;26,43652094;20,76883673;1,655154554
B;18,36300331;14,02225556;31,18897486;7,48194193;26,09148556;24,91933383;21,12751009;8,9306665;16,99289078;21,7978417;16,59450309;13,59477403
C;27,15353561;26,86666509;#NUM!;5,77132222;20,02040676;30,0161366;#NUM!;29,07879011;29,93088889;41,87108784;14,76861261;6,051291962
D;18,77828897;18,09504725;18,66261362;14,25700553;24,89813247;9,735013957;24,9299347;0,051037369;19,32012444;16,5054266;16,70979848;29,88294005
E;#NUM!;20,0625512;17,21316545;17,10826281;20,53157485;18,49439456;29,92556113;#NUM!;21,29635696;21,59192936;36,2190248;#NUM!
F;25,65108848;10,03455182;24,44772413;30,90097976;#NUM!;3,132344344;18,60478349;20,63174274;#NUM!;29,88826759;37,11385093;#NUM!
G;2,625035046;4,131465124;13,94403001;22,62731909;26,78699407;24,45831931;16,9719164;10,32917032;26,10740746;30,26659102;28,41357483;20,92177925
H;17,38629405;27,87639993;14,33527976;12,57454016;3,2709384;15,13957912;24,97233945;18,83613417;32,84370697;22,46875319;28,60511241;34,54357958
