Plate2 SampleIDs;1;2;3;4;5;6;7;8;9;10;11;12
A;4029527934;4029528063;4029527308;4029527451;4029527868;4029527776;4029527338;4029527372;4029527833;4029527282;4029527918;4029527793
B;4029527334;4029527376;4029528040;4029527216;4029527311;4029527892;4029527481;4029529493;4029527363;4029527297;4029527366;4029528001
C;4029527121;4029527315;CROSS.CONT.CTR.189;4029527256;4029527413;4029527393;CROSS.CONT.CTR.191;4029527777;4029527839;4029529084;4029527375;4029527696
D;4029527893;4029528020;4029529768;4029527373;4029533294;4029527293;4029527313;4029527066;4029527220;4029527162;4029527713;4029529624
E;4029527928;4029527173;4029529780;4029527687;4029527786;4029527680;4029527689;4029527265;4029527149;4029527710;4029528015;neg.CTR.95
F;4029527270;4029527731;4029529216;4029527321;CROSS.CONT.CTR.190;4029527822;4029527876;4029527476;CROSS.CONT.CTR.192;4029527449;4029527368;neg.CTR.96
G;4029527277;4029529413;4029527818;4029527253;4029527168;4029527116;4029527194;4029527132;4029527714;4029527838;4029527279;pos.CTR.95
H;4029527245;4029527107;4029527259;4029527046;4029527098;4029527805;4029527130;4029527148;4029527176;4029527909;4029528833;pos.CTR.96
